FIPS,FIPSTEXT,y17_M001_valueText,y17_M001_classRange,y17_M001_valueNumeric,y17_M002_valueText,y17_M002_classRange,y17_M002_valueNumeric,y17_M003_valueText,y17_M003_classRange,y17_M003_valueNumeric,y17_M004_valueText,y17_M004_classRange,y17_M004_valueNumeric,y17_M005_valueText,y17_M005_classRange,y17_M005_valueNumeric,y17_M006_valueText,y17_M006_classRange,y17_M006_valueNumeric,y17_M007_valueText,y17_M007_classRange,y17_M007_valueNumeric,y17_M008_valueText,y17_M008_classRange,y17_M008_valueNumeric,y17_M009_valueText,y17_M009_classRange,y17_M009_valueNumeric,y17_M010_valueText,y17_M010_classRange,y17_M010_valueNumeric,y17_M058_valueText,y17_M058_classRange,y17_M058_valueNumeric,y17_M059_valueText,y17_M059_classRange,y17_M059_valueNumeric,y17_M060_valueText,y17_M060_classRange,y17_M060_valueNumeric,y17_M061_valueText,y17_M061_classRange,y17_M061_valueNumeric,y17_M062_valueText,y17_M062_classRange,y17_M062_valueNumeric,y17_M063_valueText,y17_M063_classRange,y17_M063_valueNumeric,y17_M064_valueText,y17_M064_classRange,y17_M064_valueNumeric,y17_M065_valueText,y17_M065_classRange,y17_M065_valueNumeric,y17_M066_valueText,y17_M066_classRange,y17_M066_valueNumeric,y17_M067_valueText,y17_M067_classRange,y17_M067_valueNumeric,y17_M068_valueText,y17_M068_classRange,y17_M068_valueNumeric,y17_M069_valueText,y17_M069_classRange,y17_M069_valueNumeric,y17_M070_valueText,y17_M070_classRange,y17_M070_valueNumeric,y17_M071_valueText,y17_M071_classRange,y17_M071_valueNumeric,y17_M076_valueText,y17_M076_classRange,y17_M076_valueNumeric,y17_M077_valueText,y17_M077_classRange,y17_M077_valueNumeric,y17_M078_valueText,y17_M078_classRange,y17_M078_valueNumeric,y17_M079_valueText,y17_M079_classRange,y17_M079_valueNumeric,y17_M080_valueText,y17_M080_classRange,y17_M080_valueNumeric,y17_M081_valueText,y17_M081_classRange,y17_M081_valueNumeric,y17_M082_valueText,y17_M082_classRange,y17_M082_valueNumeric,y17_M083_valueText,y17_M083_classRange,y17_M083_valueNumeric,y17_M091_valueText,y17_M091_classRange,y17_M091_valueNumeric,y17_M092_valueText,y17_M092_classRange,y17_M092_valueNumeric,y17_M093_valueText,y17_M093_classRange,y17_M093_valueNumeric,y17_M201_valueText,y17_M201_classRange,y17_M201_valueNumeric
22121,22121,111,Less than 250,111.00,0.11,Sparse Data,0.11,307,180 - 499,307.00,0.19,Sparse Data,0.19,-0.43,Sparse Data,-0.43,0.13,Sparse Data,0.13,1.25,Sparse Data,1.25,-0.61,Sparse Data,-0.61,-0.11,Sparse Data,-0.11,0.34,Sparse Data,0.34,0.24,Sparse Data,0.24,27.7,10 - 29,27.70,-0.17,Sparse Data,-0.17,0.22,Less than 1,0.22,0.38,Sparse Data,0.38,24.23,15 - 29,24.23,87.54,80 or more,87.54,0.10,Sparse Data,0.10,68.58,60 - 79,68.58,0.31,Less than 5,0.31,7.68,Less than 15,7.68,0.11,Less than 1,0.11,0.00,Less than 1,0.00,75.75,65 or more,75.75,78.72,70 - 79,78.72,(D),75 or more,,1.03,Less than 5,1.03,65.84,60 or more,65.84,7.22,5 - 14,7.22,82.50,75 - 89,82.50,40.06,30 or more,40.06,27.69,25 - 39,27.69,69.37,Less than 75,69.37,11.71,10 - 14,11.71,15.32,15 - 19,15.32,80.18,75 - 84,80.18
22123,22123,548,500 - 749,548.00,-0.72,Negligible Change,-0.72,307,180 - 499,307.00,-0.21,Sparse Data,-0.21,-0.61,Negligible Change,-0.61,-1.12,Slight Decrease,-1.12,-0.26,Sparse Data,-0.26,-0.30,Sparse Data,-0.30,0.17,Sparse Data,0.17,0.09,Sparse Data,0.09,0.03,Sparse Data,0.03,73.0,70 - 89,73.00,0.65,Negligible Change,0.65,41.52,40 or more,41.52,-0.11,Sparse Data,-0.11,48.27,30 - 49,48.27,66.12,60 - 79,66.12,0.04,Sparse Data,0.04,55.91,40 - 59,55.91,71.23,60 - 89,71.23,15.75,15 - 29,15.75,10.76,10 - 14,10.76,16.46,14 or more,16.46,54.23,50 - 64,54.23,62.84,60 - 69,62.84,56.63,50 - 64,56.63,5.50,5 - 14,5.50,61.66,60 or more,61.66,14.00,5 - 14,14.00,79.79,75 - 89,79.79,27.01,20 - 29,27.01,34.10,25 - 39,34.10,84.85,75 - 84,84.85,4.74,Less than 5,4.74,7.66,5 - 9,7.66,54.93,Less than 55,54.93
22125,22125,153,Less than 250,153.00,-0.15,Sparse Data,-0.15,564,"500 - 1,999",564.00,0.34,Sparse Data,0.34,0.08,Sparse Data,0.08,-0.79,Sparse Data,-0.79,-0.40,Sparse Data,-0.40,-0.39,Sparse Data,-0.39,0.30,Sparse Data,0.30,-0.63,Sparse Data,-0.63,-0.36,Sparse Data,-0.36,33.4,30 - 49,33.40,1.31,Sparse Data,1.31,0.08,Less than 1,0.08,-0.43,Sparse Data,-0.43,9.58,5 - 14,9.58,28.64,20 - 39,28.64,-3.34,Significant Decrease,-3.34,10.89,10 - 19,10.89,0.70,Less than 5,0.70,39.11,30 - 49,39.11,0.00,Less than 1,0.00,4.41,3 - 5,4.41,(D),Less than 5,,57.81,50 - 59,57.81,27.60,20 - 34,27.60,(D),Less than 5,,28.19,20 - 29,28.19,0.00,Less than 1,0.00,36.14,30 - 49,36.14,(D),Less than 5,,(D),5 - 9,,75.82,75 - 84,75.82,12.42,10 - 14,12.42,10.46,10 - 14,10.46,72.55,65 - 74,72.55
22127,22127,184,Less than 250,184.00,0.06,Sparse Data,0.06,164,50 - 179,164.00,-0.38,Sparse Data,-0.38,-0.14,Sparse Data,-0.14,0.26,Sparse Data,0.26,0.10,Sparse Data,0.10,0.26,Sparse Data,0.26,0.45,Sparse Data,0.45,0.88,Sparse Data,0.88,0.37,Sparse Data,0.37,5.0,Less than 10,5.00,1.50,Sparse Data,1.50,0.14,Less than 1,0.14,0.50,Sparse Data,0.50,0.83,Less than 5,0.83,16.79,10 - 19,16.79,-0.14,Sparse Data,-0.14,10.56,10 - 19,10.56,1.35,Less than 5,1.35,35.90,30 - 49,35.90,0.00,Less than 1,0.00,2.07,1 - 2,2.07,2.69,Less than 5,2.69,62.15,60 - 69,62.15,13.89,Less than 20,13.89,53.81,30 - 59,53.81,14.78,10 - 19,14.78,(D),Less than 1,,45.97,30 - 49,45.97,(D),Less than 5,,0.83,Less than 5,0.83,90.76,90 - 94,90.76,4.35,Less than 5,4.35,4.35,2 - 4,4.35,76.09,75 - 84,76.09
23001,23001,496,250 - 499,496.00,0.13,Sparse Data,0.13,112,50 - 179,112.00,0.13,Negligible Change,0.13,0.11,Sparse Data,0.11,-0.04,Sparse Data,-0.04,-0.76,Sparse Data,-0.76,0.52,Sparse Data,0.52,-0.84,Sparse Data,-0.84,-1.65,Sparse Data,-1.65,-0.26,Sparse Data,-0.26,18.6,10 - 29,18.60,0.67,Sparse Data,0.67,1.87,1 - 4,1.87,0.40,Sparse Data,0.40,8.20,5 - 14,8.20,44.17,40 - 59,44.17,0.07,Sparse Data,0.07,34.73,20 - 39,34.73,5.39,5 - 19,5.39,10.71,Less than 15,10.71,0.00,Less than 1,0.00,0.59,Less than 1,0.59,7.14,5 - 19,7.14,32.47,Less than 40,32.47,31.91,20 - 34,31.91,25.31,15 - 29,25.31,9.64,Less than 10,9.64,(D),Less than 1,,18.51,Less than 30,18.51,2.17,Less than 5,2.17,3.73,Less than 5,3.73,85.69,85 - 89,85.69,3.83,Less than 5,3.83,10.28,10 - 14,10.28,85.08,85 or more,85.08
23003,23003,766,750 - 999,766.00,-0.32,Negligible Change,-0.32,414,180 - 499,414.00,0.26,Negligible Change,0.26,-0.29,Sparse Data,-0.29,-0.33,Negligible Change,-0.33,-0.65,Negligible Change,-0.65,-0.30,Sparse Data,-0.30,-0.64,Sparse Data,-0.64,1.14,Sparse Data,1.14,-0.39,Negligible Change,-0.39,7.4,Less than 10,7.40,0.35,Sparse Data,0.35,3.99,1 - 4,3.99,-0.29,Negligible Change,-0.29,4.08,Less than 5,4.08,54.89,40 - 59,54.89,-0.82,Negligible Change,-0.82,36.68,20 - 39,36.68,10.56,5 - 19,10.56,5.73,Less than 15,5.73,2.03,1 - 4,2.03,1.96,1 - 2,1.96,20.60,20 - 34,20.60,58.17,50 - 59,58.17,58.36,50 - 64,58.36,3.24,Less than 5,3.24,39.45,30 - 39,39.45,3.26,1 - 4,3.26,56.54,50 - 64,56.54,19.49,10 - 19,19.49,33.57,25 - 39,33.57,79.77,75 - 84,79.77,6.27,5 - 9,6.27,10.05,10 - 14,10.05,79.63,75 - 84,79.63
23005,23005,668,500 - 749,668.00,-0.15,Negligible Change,-0.15,75,50 - 179,75.00,0.03,Negligible Change,0.03,-0.01,Sparse Data,-0.01,-0.57,Negligible Change,-0.57,-0.15,Sparse Data,-0.15,-1.62,Sparse Data,-1.62,0.65,Sparse Data,0.65,-5.33,Sparse Data,-5.33,-0.88,Sparse Data,-0.88,9.3,Less than 10,9.30,0.58,Sparse Data,0.58,1.62,1 - 4,1.62,-0.65,Sparse Data,-0.65,2.86,Less than 5,2.86,30.54,20 - 39,30.54,-0.95,Sparse Data,-0.95,24.85,20 - 39,24.85,6.46,5 - 19,6.46,12.79,Less than 15,12.79,0.09,Less than 1,0.09,(D),Less than 1,,0.18,Less than 5,0.18,36.75,Less than 40,36.75,31.40,20 - 34,31.40,31.59,30 - 59,31.59,2.88,Less than 10,2.88,0.20,Less than 1,0.20,11.00,Less than 30,11.00,1.24,Less than 5,1.24,2.72,Less than 5,2.72,78.74,75 - 84,78.74,9.73,5 - 9,9.73,10.48,10 - 14,10.48,90.57,85 or more,90.57
23007,23007,354,250 - 499,354.00,-0.19,Sparse Data,-0.19,133,50 - 179,133.00,-0.08,Sparse Data,-0.08,0.17,Sparse Data,0.17,-0.96,Negligible Change,-0.96,0.09,Sparse Data,0.09,0.46,Sparse Data,0.46,0.56,Sparse Data,0.56,-5.33,Sparse Data,-5.33,-0.18,Sparse Data,-0.18,4.3,Less than 10,4.30,1.36,Sparse Data,1.36,0.20,Less than 1,0.20,0.53,Sparse Data,0.53,1.02,Less than 5,1.02,23.51,20 - 39,23.51,0.30,Sparse Data,0.30,19.93,10 - 19,19.93,1.01,Less than 5,1.01,10.30,Less than 15,10.30,0.00,Less than 1,0.00,0.17,Less than 1,0.17,1.29,Less than 5,1.29,15.56,Less than 40,15.56,12.08,Less than 20,12.08,25.71,15 - 29,25.71,4.58,Less than 10,4.58,0.09,Less than 1,0.09,(D),Less than 30,,0.11,Less than 5,0.11,(D),Less than 5,,82.77,75 - 84,82.77,5.37,5 - 9,5.37,8.76,5 - 9,8.76,87.01,85 or more,87.01
23009,23009,416,250 - 499,416.00,0.06,Sparse Data,0.06,157,50 - 179,157.00,0.09,Negligible Change,0.09,-0.34,Negligible Change,-0.34,-0.07,Sparse Data,-0.07,0.54,Sparse Data,0.54,0.70,Sparse Data,0.70,-0.43,Sparse Data,-0.43,0.00,Sparse Data,0.00,0.74,Sparse Data,0.74,6.4,Less than 10,6.40,0.93,Sparse Data,0.93,0.35,Less than 1,0.35,0.83,Sparse Data,0.83,1.49,Less than 5,1.49,23.28,20 - 39,23.28,0.90,Sparse Data,0.90,18.54,10 - 19,18.54,1.90,Less than 5,1.90,6.93,Less than 15,6.93,0.00,Less than 1,0.00,(D),Less than 1,,4.07,Less than 5,4.07,54.96,50 - 59,54.96,55.05,50 - 64,55.05,2.94,Less than 5,2.94,34.82,30 - 39,34.82,1.23,1 - 4,1.23,28.43,Less than 30,28.43,2.54,Less than 5,2.54,23.06,10 - 24,23.06,81.73,75 - 84,81.73,6.01,5 - 9,6.01,9.13,5 - 9,9.13,80.77,75 - 84,80.77
23011,23011,642,500 - 749,642.00,0.12,Sparse Data,0.12,128,50 - 179,128.00,0.00,Sparse Data,0.00,0.23,Negligible Change,0.23,0.32,Negligible Change,0.32,-0.55,Sparse Data,-0.55,-0.14,Sparse Data,-0.14,0.22,Sparse Data,0.22,0.00,Sparse Data,0.00,0.19,Sparse Data,0.19,14.8,10 - 29,14.80,-2.91,Sparse Data,-2.91,0.27,Less than 1,0.27,0.40,Sparse Data,0.40,6.58,5 - 14,6.58,44.49,40 - 59,44.49,0.26,Sparse Data,0.26,38.81,20 - 39,38.81,(D),Less than 5,,9.17,Less than 15,9.17,(D),Less than 1,,0.00,Less than 1,0.00,8.48,5 - 19,8.48,38.48,Less than 40,38.48,38.60,35 - 49,38.60,31.94,30 - 59,31.94,6.79,Less than 10,6.79,(D),Less than 1,,19.55,Less than 30,19.55,0.19,Less than 5,0.19,0.53,Less than 5,0.53,88.32,85 - 89,88.32,4.21,Less than 5,4.21,6.23,5 - 9,6.23,83.49,75 - 84,83.49
23013,23013,308,250 - 499,308.00,-0.04,Sparse Data,-0.04,83,50 - 179,83.00,0.11,Negligible Change,0.11,-0.07,Sparse Data,-0.07,-0.29,Sparse Data,-0.29,-0.36,Sparse Data,-0.36,0.39,Sparse Data,0.39,0.00,Sparse Data,0.00,0.00,Sparse Data,0.00,-0.54,Sparse Data,-0.54,11.0,10 - 29,11.00,-0.24,Sparse Data,-0.24,1.07,1 - 4,1.07,0.96,Sparse Data,0.96,4.23,Less than 5,4.23,38.64,20 - 39,38.64,0.53,Sparse Data,0.53,30.23,20 - 39,30.23,3.27,Less than 5,3.27,11.46,Less than 15,11.46,0.75,Less than 1,0.75,0.41,Less than 1,0.41,2.96,Less than 5,2.96,25.38,Less than 40,25.38,25.02,20 - 34,25.02,8.23,5 - 14,8.23,14.09,10 - 19,14.09,0.22,Less than 1,0.22,14.42,Less than 30,14.42,0.12,Less than 5,0.12,12.85,10 - 24,12.85,85.71,85 - 89,85.71,4.87,Less than 5,4.87,8.12,5 - 9,8.12,78.90,75 - 84,78.90
23015,23015,309,250 - 499,309.00,-0.22,Sparse Data,-0.22,82,50 - 179,82.00,0.12,Negligible Change,0.12,-0.43,Negligible Change,-0.43,-0.24,Sparse Data,-0.24,-0.19,Sparse Data,-0.19,0.00,Sparse Data,0.00,-2.35,Sparse Data,-2.35,0.00,Sparse Data,0.00,-0.83,Sparse Data,-0.83,8.7,Less than 10,8.70,0.19,Sparse Data,0.19,0.52,Less than 1,0.52,-0.52,Sparse Data,-0.52,2.23,Less than 5,2.23,25.51,20 - 39,25.51,-0.39,Sparse Data,-0.39,22.07,20 - 39,22.07,(D),Less than 5,,11.83,Less than 15,11.83,(D),Less than 1,,0.00,Less than 1,0.00,0.35,Less than 5,0.35,28.23,Less than 40,28.23,27.71,20 - 34,27.71,8.96,5 - 14,8.96,11.24,10 - 19,11.24,3.40,1 - 4,3.40,16.21,Less than 30,16.21,4.25,Less than 5,4.25,7.31,5 - 9,7.31,81.88,75 - 84,81.88,5.83,5 - 9,5.83,7.44,5 - 9,7.44,86.73,85 or more,86.73
23017,23017,545,500 - 749,545.00,-0.02,Sparse Data,-0.02,141,50 - 179,141.00,0.10,Negligible Change,0.10,-0.07,Sparse Data,-0.07,-0.28,Sparse Data,-0.28,0.04,Sparse Data,0.04,0.04,Sparse Data,0.04,0.43,Sparse Data,0.43,0.00,Sparse Data,0.00,0.08,Sparse Data,0.08,5.8,Less than 10,5.80,1.74,Sparse Data,1.74,1.03,1 - 4,1.03,0.39,Sparse Data,0.39,1.31,Less than 5,1.31,22.71,20 - 39,22.71,0.20,Sparse Data,0.20,18.88,10 - 19,18.88,(D),5 - 19,,7.64,Less than 15,7.64,(D),Less than 1,,0.32,Less than 1,0.32,5.16,5 - 19,5.16,48.36,40 - 49,48.36,47.06,35 - 49,47.06,20.26,15 - 29,20.26,22.85,20 - 29,22.85,(D),1 - 4,,26.97,Less than 30,26.97,2.23,Less than 5,2.23,14.38,10 - 24,14.38,87.52,85 - 89,87.52,6.79,5 - 9,6.79,3.67,2 - 4,3.67,85.69,85 or more,85.69
23019,23019,601,500 - 749,601.00,-0.24,Negligible Change,-0.24,175,50 - 179,175.00,-0.03,Sparse Data,-0.03,0.02,Sparse Data,0.02,-0.60,Negligible Change,-0.60,-0.29,Sparse Data,-0.29,0.00,Sparse Data,0.00,-0.09,Sparse Data,-0.09,1.39,Sparse Data,1.39,-0.26,Sparse Data,-0.26,4.8,Less than 10,4.80,-1.46,Sparse Data,-1.46,1.55,1 - 4,1.55,0.53,Sparse Data,0.53,1.89,Less than 5,1.89,39.02,20 - 39,39.02,0.31,Sparse Data,0.31,33.53,20 - 39,33.53,(D),Less than 5,,7.36,Less than 15,7.36,(D),Less than 1,,0.51,Less than 1,0.51,8.41,5 - 19,8.41,50.15,50 - 59,50.15,50.24,50 - 64,50.24,30.42,30 - 59,30.42,20.11,20 - 29,20.11,(D),Less than 1,,30.51,30 - 49,30.51,5.53,5 - 9,5.53,7.09,5 - 9,7.09,85.86,85 - 89,85.86,5.32,5 - 9,5.32,5.82,5 - 9,5.82,79.03,75 - 84,79.03
23021,23021,188,Less than 250,188.00,-0.16,Sparse Data,-0.16,272,180 - 499,272.00,0.48,Negligible Change,0.48,-0.20,Sparse Data,-0.20,-0.45,Sparse Data,-0.45,-0.45,Sparse Data,-0.45,-0.50,Sparse Data,-0.50,-3.29,Sparse Data,-3.29,7.19,Sparse Data,7.19,0.34,Sparse Data,0.34,2.0,Less than 10,2.00,-6.41,Sparse Data,-6.41,0.09,Less than 1,0.09,-1.47,Sparse Data,-1.47,0.34,Less than 5,0.34,17.09,10 - 19,17.09,-1.05,Sparse Data,-1.05,13.49,10 - 19,13.49,0.67,Less than 5,0.67,7.15,Less than 15,7.15,0.00,Less than 1,0.00,0.00,Less than 1,0.00,(D),Less than 5,,44.86,40 - 49,44.86,45.85,35 - 49,45.85,30.58,30 - 59,30.58,2.73,Less than 10,2.73,0.07,Less than 1,0.07,20.25,Less than 30,20.25,(D),Less than 5,,(D),Less than 5,,84.57,75 - 84,84.57,8.51,5 - 9,8.51,5.85,5 - 9,5.85,79.79,75 - 84,79.79
23023,23023,209,Less than 250,209.00,-0.19,Sparse Data,-0.19,85,50 - 179,85.00,-0.12,Sparse Data,-0.12,-0.24,Sparse Data,-0.24,0.00,Sparse Data,0.00,0.38,Sparse Data,0.38,-2.66,Sparse Data,-2.66,0.00,Sparse Data,0.00,0.00,Sparse Data,0.00,-0.49,Sparse Data,-0.49,10.9,10 - 29,10.90,-1.40,Sparse Data,-1.40,0.75,Less than 1,0.75,0.04,Sparse Data,0.04,3.21,Less than 5,3.21,29.53,20 - 39,29.53,-0.11,Sparse Data,-0.11,24.44,20 - 39,24.44,3.08,Less than 5,3.08,13.08,Less than 15,13.08,0.00,Less than 1,0.00,0.00,Less than 1,0.00,(D),Less than 5,,17.42,Less than 40,17.42,15.91,Less than 20,15.91,34.56,30 - 59,34.56,1.59,Less than 10,1.59,0.34,Less than 1,0.34,(D),Less than 30,,0.88,Less than 5,0.88,0.38,Less than 5,0.38,77.51,75 - 84,77.51,14.83,10 - 14,14.83,7.66,5 - 9,7.66,85.17,85 or more,85.17
23025,23025,467,250 - 499,467.00,-0.45,Negligible Change,-0.45,312,180 - 499,312.00,-0.33,Negligible Change,-0.33,-0.43,Negligible Change,-0.43,-0.38,Negligible Change,-0.38,-0.71,Negligible Change,-0.71,0.10,Sparse Data,0.10,-0.74,Sparse Data,-0.74,2.39,Sparse Data,2.39,0.15,Sparse Data,0.15,5.8,Less than 10,5.80,1.08,Sparse Data,1.08,0.19,Less than 1,0.19,0.62,Sparse Data,0.62,1.43,Less than 5,1.43,24.58,20 - 39,24.58,-0.57,Sparse Data,-0.57,15.89,10 - 19,15.89,1.21,Less than 5,1.21,4.33,Less than 15,4.33,0.00,Less than 1,0.00,(D),Less than 1,,2.14,Less than 5,2.14,37.88,Less than 40,37.88,37.40,35 - 49,37.40,28.50,15 - 29,28.50,9.83,Less than 10,9.83,(D),1 - 4,,21.38,Less than 30,21.38,(D),Less than 5,,1.24,Less than 5,1.24,82.01,75 - 84,82.01,8.57,5 - 9,8.57,8.35,5 - 9,8.35,84.15,75 - 84,84.15
23027,23027,517,500 - 749,517.00,-0.42,Negligible Change,-0.42,109,50 - 179,109.00,0.06,Sparse Data,0.06,-0.12,Sparse Data,-0.12,-0.61,Negligible Change,-0.61,-1.31,Slight Decrease,-1.31,-0.09,Sparse Data,-0.09,-1.82,Sparse Data,-1.82,-2.55,Sparse Data,-2.55,-3.08,Significant Decrease,-3.08,12.1,10 - 29,12.10,(D),Sparse Data,,(D),Less than 1,,-0.57,Sparse Data,-0.57,4.61,Less than 5,4.61,38.11,20 - 39,38.11,-0.47,Sparse Data,-0.47,31.47,20 - 39,31.47,(D),Less than 5,,11.77,Less than 15,11.77,(D),Less than 1,,0.00,Less than 1,0.00,3.99,Less than 5,3.99,30.81,Less than 40,30.81,29.38,20 - 34,29.38,30.55,30 - 59,30.55,5.21,Less than 10,5.21,0.08,Less than 1,0.08,11.92,Less than 30,11.92,(D),Less than 5,,0.78,Less than 5,0.78,81.43,75 - 84,81.43,6.19,5 - 9,6.19,8.12,5 - 9,8.12,85.88,85 or more,85.88
23029,23029,379,250 - 499,379.00,-0.07,Sparse Data,-0.07,329,180 - 499,329.00,0.14,Negligible Change,0.14,0.19,Sparse Data,0.19,-0.57,Negligible Change,-0.57,0.16,Sparse Data,0.16,-0.77,Sparse Data,-0.77,-1.63,Sparse Data,-1.63,-1.22,Sparse Data,-1.22,-0.69,Sparse Data,-0.69,7.6,Less than 10,7.60,(D),Sparse Data,,(D),5 - 9,,-0.54,Sparse Data,-0.54,1.90,Less than 5,1.90,24.99,20 - 39,24.99,-0.53,Sparse Data,-0.53,22.41,20 - 39,22.41,(D),40 - 59,,1.88,Less than 15,1.88,0.13,Less than 1,0.13,(D),Less than 1,,5.39,5 - 19,5.39,33.98,Less than 40,33.98,33.35,20 - 34,33.35,1.93,Less than 5,1.93,33.84,30 - 39,33.84,0.17,Less than 1,0.17,44.25,30 - 49,44.25,0.72,Less than 5,0.72,63.72,40 or more,63.72,85.75,85 - 89,85.75,4.22,Less than 5,4.22,7.12,5 - 9,7.12,78.63,75 - 84,78.63
23031,23031,735,500 - 749,735.00,-0.12,Sparse Data,-0.12,83,50 - 179,83.00,0.10,Negligible Change,0.10,-0.15,Sparse Data,-0.15,-0.40,Negligible Change,-0.40,-0.58,Sparse Data,-0.58,0.00,Sparse Data,0.00,-0.64,Sparse Data,-0.64,6.20,Sparse Data,6.20,-0.21,Sparse Data,-0.21,9.6,Less than 10,9.60,0.78,Sparse Data,0.78,2.67,1 - 4,2.67,-0.55,Sparse Data,-0.55,2.88,Less than 5,2.88,29.96,20 - 39,29.96,-0.72,Sparse Data,-0.72,25.39,20 - 39,25.39,10.36,5 - 19,10.36,10.83,Less than 15,10.83,0.36,Less than 1,0.36,0.00,Less than 1,0.00,2.12,Less than 5,2.12,44.63,40 - 49,44.63,43.35,35 - 49,43.35,21.71,15 - 29,21.71,11.42,10 - 19,11.42,1.79,1 - 4,1.79,15.24,Less than 30,15.24,1.47,Less than 5,1.47,5.55,5 - 9,5.55,75.51,75 - 84,75.51,12.24,10 - 14,12.24,10.34,10 - 14,10.34,83.95,75 - 84,83.95
24001,24001,290,250 - 499,290.00,-0.01,Sparse Data,-0.01,122,50 - 179,122.00,0.27,Sparse Data,0.27,0.61,Negligible Change,0.61,-0.64,Negligible Change,-0.64,-0.41,Sparse Data,-0.41,-0.86,Sparse Data,-0.86,0.00,Sparse Data,0.00,62.96,Sparse Data,62.96,-0.15,Sparse Data,-0.15,13.1,10 - 29,13.10,1.39,Sparse Data,1.39,0.11,Less than 1,0.11,0.63,Sparse Data,0.63,4.90,Less than 5,4.90,37.54,20 - 39,37.54,0.44,Sparse Data,0.44,28.87,20 - 39,28.87,0.37,Less than 5,0.37,26.17,15 - 29,26.17,0.00,Less than 1,0.00,3.17,3 - 5,3.17,5.27,5 - 19,5.27,44.23,40 - 49,44.23,40.91,35 - 49,40.91,5.79,5 - 14,5.79,(D),Less than 10,,(D),Less than 1,,22.07,Less than 30,22.07,(D),Less than 5,,12.06,10 - 24,12.06,93.10,90 - 94,93.10,3.79,Less than 5,3.79,3.10,2 - 4,3.10,61.38,55 - 64,61.38
24003,24003,390,250 - 499,390.00,0.07,Sparse Data,0.07,69,50 - 179,69.00,0.07,Sparse Data,0.07,0.02,Sparse Data,0.02,0.05,Sparse Data,0.05,0.00,Sparse Data,0.00,-0.27,Sparse Data,-0.27,-3.54,Sparse Data,-3.54,0.00,Sparse Data,0.00,-0.23,Sparse Data,-0.23,10.2,10 - 29,10.20,-1.67,Sparse Data,-1.67,0.60,Less than 1,0.60,-0.07,Sparse Data,-0.07,5.48,5 - 14,5.48,53.89,40 - 59,53.89,-0.30,Sparse Data,-0.30,46.82,40 - 59,46.82,(D),Less than 5,,16.24,15 - 29,16.24,(D),Less than 1,,1.49,1 - 2,1.49,16.20,5 - 19,16.20,74.87,70 - 79,74.87,70.63,65 - 74,70.63,7.70,5 - 14,7.70,48.26,40 - 59,48.26,8.95,5 - 14,8.95,64.05,50 - 64,64.05,(D),Less than 5,,12.25,10 - 24,12.25,83.08,75 - 84,83.08,5.90,5 - 9,5.90,9.23,5 - 9,9.23,85.90,85 or more,85.90
24005,24005,708,500 - 749,708.00,0.28,Negligible Change,0.28,108,50 - 179,108.00,0.28,Negligible Change,0.28,0.12,Sparse Data,0.12,-0.06,Sparse Data,-0.06,-0.81,Sparse Data,-0.81,1.96,Sparse Data,1.96,-0.85,Sparse Data,-0.85,2.96,Sparse Data,2.96,0.43,Sparse Data,0.43,17.5,10 - 29,17.50,1.58,Sparse Data,1.58,0.89,Less than 1,0.89,0.68,Sparse Data,0.68,11.61,5 - 14,11.61,66.30,60 - 79,66.30,0.51,Sparse Data,0.51,61.29,60 - 79,61.29,1.28,Less than 5,1.28,15.16,15 - 29,15.16,0.68,Less than 1,0.68,0.73,Less than 1,0.73,25.22,20 - 34,25.22,68.18,60 - 69,68.18,65.29,65 - 74,65.29,5.20,5 - 14,5.20,64.19,60 or more,64.19,9.87,5 - 14,9.87,84.37,75 - 89,84.37,0.75,Less than 5,0.75,15.95,10 - 24,15.95,74.58,Less than 75,74.58,7.20,5 - 9,7.20,13.98,10 - 14,13.98,82.49,75 - 84,82.49
24009,24009,280,250 - 499,280.00,0.12,Sparse Data,0.12,90,50 - 179,90.00,0.58,Negligible Change,0.58,0.06,Sparse Data,0.06,-0.90,Negligible Change,-0.90,-1.45,Sparse Data,-1.45,-0.86,Sparse Data,-0.86,-1.89,Sparse Data,-1.89,62.96,Sparse Data,62.96,-1.51,Sparse Data,-1.51,18.4,10 - 29,18.40,1.36,Sparse Data,1.36,1.15,1 - 4,1.15,-2.75,Sparse Data,-2.75,9.27,5 - 14,9.27,50.31,40 - 59,50.31,-3.03,Sparse Data,-3.03,42.99,40 - 59,42.99,2.67,Less than 5,2.67,9.96,Less than 15,9.96,0.00,Less than 1,0.00,0.41,Less than 1,0.41,24.50,20 - 34,24.50,68.23,60 - 69,68.23,65.31,65 - 74,65.31,4.75,Less than 5,4.75,36.75,30 - 39,36.75,0.58,Less than 1,0.58,70.47,65 - 74,70.47,(D),Less than 5,,26.08,25 - 39,26.08,83.21,75 - 84,83.21,4.64,Less than 5,4.64,8.21,5 - 9,8.21,76.43,75 - 84,76.43
